defo,D_fedge,D_road,D_rivers,D_villages,elevation,slope,geotype,soiltype,protectedarea
0,0.0,266.264386715183,107.33460574452226,1512.3840604170666,801,19.877802,17,45,0
0,66.4990711577519,906.4389080790772,7869.289680651165,2376.912177749195,106,5.957533,21,108,0
0,0.0,59.606880681758334,84.29685907089748,1794.6522152239968,27,0.9335558,23,213,1
0,199.94284537951597,1579.9841365742163,1724.873064672702,1892.8390088831657,1316,28.597809,11,45,0
0,29.7277861936044,1290.6788727311875,1062.3263954564052,1857.4512674462014,161,10.503358,17,575,0
0,0.0,199.76190432715183,84.22701432085938,1092.1129446622845,914,17.379164,25,45,0
0,42.143457913677125,556.7086346063037,720.7641494743481,1710.0590575789233,169,27.9475,18,213,0
0,0.0,869.6444571970742,466.8907959907321,1811.9468464918386,142,29.585083,17,213,0
0,0.0,89.30497933204,372.9960612480284,1776.6479419248762,63,3.3612788,23,94,0
0,0.0,0.0,151.56370086508798,59.44817448180179,3,2.637468,23,0,0
0,693.0751010555242,4026.621226425281,2111.67207174756,5141.098324482292,447,5.442577,26,45,0
0,0.0,119.24453358147073,488.9389413731671,240.34504120236474,190,2.9322138,18,212,0
0,42.11031422885758,760.9042855222161,59.55297134891235,1907.7875934946455,255,27.016697,17,210,0
0,326.87974927088777,8178.851778671653,1194.5819936900261,11047.845399734757,935,24.225784,28,45,0
0,190.71096214308963,508.950129555932,636.7103412021435,746.9802619338412,1167,39.198856,13,210,0
0,0.0,173.43151066516594,356.91910437844666,2722.2800858890023,21,2.9589162,23,887,0
0,118.82343124358933,1633.8226316224054,831.7642488259519,2063.435399864523,195,13.626957,19,1002,1
0,0.0,701.593654131491,265.8906392320911,1504.1045924402997,189,4.682276,17,575,0
0,0.0,59.47544957007471,1032.2889090974984,239.75320206493723,30,7.9573274,21,108,0
0,0.0,653.9080996090926,226.36435085043206,2660.175528564504,10,1.3194786,23,82,0
0,0.0,29.72137253478652,475.54196055658434,824.1989011976124,20,3.8212605,23,887,0
0,29.692301215379782,107.05710340127774,703.9016290775073,425.12901161138353,121,10.287661,21,1008,0
0,42.17856965665443,2769.2084167669946,510.5174961659998,3055.5453328743138,263,13.161224,26,45,0
0,404.8627689654063,1452.4514673735862,934.2003963573336,1650.3416627722384,253,21.21136,17,210,0
0,0.0,548.3928434009322,555.6035775516422,665.0240051984848,56,5.9030404,18,45,0
0,42.0941806422849,59.53015500961467,841.8835258476971,1083.4651754897448,152,8.738766,18,210,0
0,0.0,339.15429075064094,2030.5729571783004,2719.0979680787095,22,1.3184333,23,890,0
0,29.823574864120182,238.58858254063625,270.06393805846875,405.64444614343205,69,13.765645,0,213,0
0,29.819478431812193,1725.6697701056664,506.0534166932133,936.3507765433842,439,32.614693,17,213,0
0,180.95678785230527,2780.7072820752683,66.52105196104394,2583.2103928712218,112,16.31829,17,45,0
0,316.38926111797986,173.54892430083387,639.0471911846848,2769.435522080613,987,29.788218,16,45,0
0,119.09520548179091,602.1378061216844,547.3846215872303,1338.1658010805838,360,9.957763,26,161,0
0,59.45569968143824,784.8376752639184,282.02311709187734,933.473323038328,153,21.427513,18,575,0
0,199.56608737453482,9992.17462361123,454.1072142793449,8414.864905680863,823,30.26606,17,45,0
0,29.755854695704425,119.02340237323078,1398.8414936704096,151.72566281882737,86,12.347836,18,363,0
0,0.0,84.32514730938809,2921.869396301445,2507.166874058247,77,38.281498,17,213,0
0,173.7504271577483,2503.2051081150857,348.7760551318006,3337.503351445605,1173,25.907463,19,213,1
0,454.0061280093249,226.51538572623082,1299.1906744937044,3080.9423387301617,133,27.495214,18,45,0
0,29.765573736832497,1669.2626370541109,133.1157200404032,1931.7838415689462,455,10.8145485,26,210,0
0,94.21624297037707,232.69693060122316,1308.893743365327,999.3140614665763,536,19.077974,14,583,0
0,29.82943660356222,1608.025109393944,208.8060419019661,1345.3041915030894,123,19.708326,17,213,0
0,0.0,66.59330731463608,320.7558433375084,762.7768465141853,294,13.358889,26,210,0
